Equipe :,4China+Vinci,,,,,Score (a la main),Rang,Points
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=LG+Azi%CE%B1s%23OGNAM%2CLG++Isowix%230409%2CLG+TwoT%237533%2CLG+Pazou%235517%2CVieto%23LOR%2C%D0%9B+%D0%93+%D0%94%D0%B0%D0%BD%D0%BA%D1%85%D0%B0%D0%BD%D0%BD+%E3%83%84%23Rise,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,,LG Azias,,LG Isowix,LG TwoT,,,
Elo :,Emeraude,Diamant,,Emeraude,Diamant,,,
Main champ :,"Zyra, Xin, Wukong",,"Ezreal, Jinx, Vayne, MF","Braum, Hookers, Bard, Poppy",,,,
,,,,,,,,
Equipe :,On aurait du y penser,,,,,28,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=不朽的惡魔女王香農%23回到基础%2CSpectror%23BLOP%2CVirtuoz%23111%2Cfemboyaeri%23GALA%2CAdriFirst%23EUW,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Spectror,AdriFirst,femboyaeri,VirtuoZ,不朽的惡魔女,,,
Elo :,Emeraude,Diamant,Diamant,Diamant,Master (100),,,
Main champ :,"Sett, Warwick, Poppy, Kled","Shaco, Zac, Jarvan",Ahri,"Xayah, Sivir","Vel'koz, Nami, Milio",,,
,,,,,,,,
Equipe :,Paffini vi Zobini,,,,,37,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=Cooags%23EUW%2Czzz%23iroha%2CHildisvinl%231327%2CTheNight%231166%2Cliliamx230%23EUW%2Cpiénutella92i%23SMIC,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,TheNight,liliamx230,,Hildisvinl,zzz,,,
Elo :,Platine,Platine,,Diamant,Gold,,,
Main champ :,,"Vi, Voli",,"Draven, Smolder",,,,
,,,,,,,,
Equipe :,PIPI GAMING,,,,,54,,
Lien multi :,https://op.gg/fr/lol/multisearch/euw?summoners=tayme%23euw%2COnikiezi%23euw%2CRR+D1%23EUW%2CNEP+Zerkome%23EUW03%2CAOE+Luce%233109%2Ctchongy%23fine%2C,,,,,,,
Role :,Top,Jungle,Mid,Adc,Supp,,,
Pseudo :,Zerkome,AOE Luce,Tayme,Onikiezi,RR D1,,,
Elo :,Grandmaster,Diamant,Master (0),Diamant,Master (400),,,
Main champ :,"Warwick, Garen, Cho, Illaoi (eh nique sa mère)",Volibear,"Ahri, Ryze","Aphelios, Kai'sa","Nami, Elise",, 
